0021,0021
0023,0023
0024,0024
0025,0025
0026,0029
0027,0027
0028,0029
0029,0028
002A,002A
002B,002B
002C,060C
002D,002d
002E,0702
002F,002F
0030,0030
0031,0031
0032,0032
0033,0033
0034,0034
0035,0035
0036,0036
0037,0037
0038,0038
0039,0039
003A,0703
003B,061b
003C,0723,0732
003D,0308
003E,0307
003F,0715,0742,0308
0040,0028
0041,0710
0042,0712
0043,0710
0044,072c,0710
0045,0646
0046,072c,0710
0047,0713
0048,0717,0741
0049,0726
004A,071b
004B,071f
004C,071f
004D,0721
004E,0722
004F,0722
0050,0726,032e
0051,0729
0052,0716
0053,030d
0054,072b
0055,071e
0056,0725
0057,0713
0058,071a
0059,071d
005A,0723
005B,005D
005C,005C
005D,005B
005E,0720
005F,0748
0060,0747
0061,0710
0062,0712
0063,0728
0064,0715
0065,0739
0066,071c
0067,0713
0068,0717
0069,0738
006A,072b
006B,071f
006C,0720
006D,0721
006E,0722
006F,0735
0070,0726
0071,0729
0072,072a
0073,0723
0074,072c
0075,0732
0076,0725
0077,0718
0078,071a
0079,071d
007A,0719
007B,0742
007C,007C
007D,073f
007E,0330
007F,2670
0080,0728,0722
0081,0713
008D,0732
008F,0738
0090,0739
009D,0735
009E,0732
00A1,0725
00A2,0735
00A3,0735
00A4,0735
00A5,0308
00A6,0735
00A7,0742
00A8,0735
00A9,0308
00AA,0742
00AB,0735
00AC,0739
00AD,0735
00AE,0308
00AF,0742
00B0,0735
00B1,0739
00B2,0735
00B3,0303
00B4,0735
00B5,0735
00B6,0732
00B8,0740
00B9,0739
00BA,0738
00BB,0735
00BC,073f
00BD,0739
00BE,0303
00BF,0330
00C0,0739
00C1,0739
00C2,0739
00C3,0739
00C4,0739
00C5,0739
00C6,0725
00C7,0738
00C8,073f
00C9,0738
00CA,0738
00CB,0738
00CC,0735
00CD,0735
00CE,0735
00CF,0735
00D0,0735
00D1,0735
00D2,0742
00D3,0742
00D4,0732
00D5,0732
00D6,0742
00D7,0735
00D8,0732
00D9,0732
00DA,0732
00DB,073f
00DC,073f
00DD,073f
00DE,073f
00DF,0732
00E0,0732
00E1,073f
00E2,0308
00E3,0308
00E4,0308
00E5,0308
00E6,0308
00E7,0308
00E8,0308
00E9,0308
00EA,0308
00EB,0747
00EC,0747
00ED,0747
00EE,0747
00EF,0747
00F0,0747
00F1,0747
00F2,0742
00F3,0741
00F4,0742
00F5,0331
00F6,0331
00F7,0735
00F8,0304
00F9,0304
00FA,0304
00FB,0304
00FC,0304
00FD,0304
00FE,0732
00FF,0323
0152,0735
0153,0742
0160,0732
0161,0735
0178,0308
0192,0711
02C6,0735
02DC,0735
2013,0308
2014,0738
2018,0308
2019,0747
201A,0725
201C,0739
201D,0732
201E,0726,032e
2020,0732
2021,0308
2022,0747
2026,0303
2030,0735
2039,0303
203A,0735
2122,0308
2219,0308
